Time,CLK,RST,Stall,Flush,Control_In,Control_Out,Branch_Taken_In,Branch_Taken_Out,PC_In,PC_Out,ReadData1_In,ReadData1_Out,ReadData2_In,ReadData2_Out,Imm_In,Imm_Out,Rs_In,Rs_Out,Rt_In,Rt_Out,Rd_In,Rd_Out
0,0,1,0,0,1fff,xxxx,0,x,aaaa,xxxx,1111,xxxx,2222,xxxx,bbbb,xxxx,001,xxx,010,xxx,011,xxx,
5,1,1,0,0,1fff,0000,0,0,aaaa,0000,1111,0000,2222,0000,bbbb,0000,001,000,010,000,011,000,
10,0,0,0,0,1fff,0000,0,0,aaaa,0000,1111,0000,2222,0000,bbbb,0000,001,000,010,000,011,000,
15,1,0,0,0,1fff,1fff,0,0,aaaa,aaaa,1111,1111,2222,2222,bbbb,bbbb,001,001,010,010,011,011,
20,0,0,0,0,1000,1fff,1,0,cccc,aaaa,3333,1111,4444,2222,dddd,bbbb,101,001,110,010,111,011,
25,1,0,0,0,1000,1000,1,1,cccc,cccc,3333,3333,4444,4444,dddd,dddd,101,101,110,110,111,111,
30,0,0,1,0,1000,1000,1,1,cccc,cccc,3333,3333,4444,4444,dddd,dddd,101,101,110,110,111,111,
35,1,0,1,0,1000,0000,1,0,cccc,0000,3333,0000,4444,0000,dddd,0000,101,000,110,000,111,000,
40,0,0,0,0,1fff,0000,0,0,aaaa,0000,1111,0000,2222,0000,bbbb,0000,001,000,010,000,011,000,
45,1,0,0,0,1fff,1fff,0,0,aaaa,aaaa,1111,1111,2222,2222,bbbb,bbbb,001,001,010,010,011,011,
50,0,0,0,1,1fff,1fff,0,0,aaaa,aaaa,1111,1111,2222,2222,bbbb,bbbb,001,001,010,010,011,011,
55,1,0,0,1,1fff,0000,0,0,aaaa,0000,1111,0000,2222,0000,bbbb,0000,001,000,010,000,011,000,
60,0,0,0,0,1fff,0000,0,0,aaaa,0000,1111,0000,2222,0000,bbbb,0000,001,000,010,000,011,000,
65,1,0,0,0,1fff,1fff,0,0,aaaa,aaaa,1111,1111,2222,2222,bbbb,bbbb,001,001,010,010,011,011,
70,0,1,0,0,1fff,1fff,0,0,aaaa,aaaa,1111,1111,2222,2222,bbbb,bbbb,001,001,010,010,011,011,
75,1,1,0,0,1fff,0000,0,0,aaaa,0000,1111,0000,2222,0000,bbbb,0000,001,000,010,000,011,000,